order_number,product_key,cust_id,order_date,ship_date,due_date,sales,quantity,price
SO54496,TI_M267,16399,2013-03-16,2013-03-23,2013-03-28,25,1,25
SO54496,TT_M928,16399,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54496,PK_7098,16399,2013-03-16,2013-03-23,2013-03-28,2,1,2
SO54497,FE_6654,20280,2013-03-16,2013-03-23,2013-03-28,22,1,22
SO54497,SO_R809_M,20280,2013-03-16,2013-03-23,2013-03-28,9,1,9
SO54498,FE_6654,15824,2013-03-16,2013-03-23,2013-03-28,22,1,22
SO54498,SJ_0194_S,15824,2013-03-16,2013-03-23,2013-03-28,54,1,54
SO54499,TT_M928,15285,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54499,HL_U509_R,15285,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54500,TT_M928,12471,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54500,TI_M823,12471,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54500,HL_U509,12471,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54500,CA_1098,12471,2013-03-16,2013-03-23,2013-03-28,9,1,9
SO54501,TT_R982,13776,2013-03-16,2013-03-23,2013-03-28,4,1,4
SO54501,TI_R982,13776,2013-03-16,2013-03-23,2013-03-28,33,1,33
SO54502,TI_R628,16301,2013-03-16,2013-03-23,2013-03-28,25,1,25
SO54502,TT_R982,16301,2013-03-16,2013-03-23,2013-03-28,4,1,4
SO54502,CA_1098,16301,2013-03-16,2013-03-23,2013-03-28,9,1,9
SO54502,HL_U509_B,16301,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54503,TT_R982,11581,2013-03-16,2013-03-23,2013-03-28,4,1,4
SO54503,PK_7098,11581,2013-03-16,2013-03-23,2013-03-28,2,1,2
SO54504,TT_R982,20148,2013-03-16,2013-03-23,2013-03-28,4,1,4
SO54504,PK_7098,20148,2013-03-16,2013-03-23,2013-03-28,2,1,2
SO54505,TI_M602,14821,2013-03-16,2013-03-23,2013-03-28,30,1,30
SO54506,TT_R982,25526,2013-03-16,2013-03-23,2013-03-28,4,1,4
SO54506,TI_R092,25526,2013-03-16,2013-03-23,2013-03-28,21,1,21
SO54506,HL_U509_R,25526,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54507,TI_R092,27814,2013-03-16,2013-03-23,2013-03-28,21,1,21
SO54507,PK_7098,27814,2013-03-16,2013-03-23,2013-03-28,2,1,2
SO54507,ST_1401,27814,2013-03-16,2013-03-23,2013-03-28,159,1,159
SO54508,TI_M823,11012,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54508,TT_M928,11012,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54508,HL_U509,11012,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54509,TI_M823,11731,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54509,TT_M928,11731,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54509,FE_6654,11731,2013-03-16,2013-03-23,2013-03-28,22,1,22
SO54509,GL_H102_M,11731,2013-03-16,2013-03-23,2013-03-28,24,1,24
SO54510,TI_M823,14353,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54510,TT_M928,14353,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54510,HL_U509_R,14353,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54511,BC_R205,11347,2013-03-16,2013-03-23,2013-03-28,9,1,9
SO54511,WB_H098,11347,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54512,BK_R79Y_42,16896,2013-03-16,2013-03-23,2013-03-28,1701,1,1701
SO54512,WB_H098,16896,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54512,BC_R205,16896,2013-03-16,2013-03-23,2013-03-28,9,1,9
SO54513,BK_R79Y_42,14083,2013-03-16,2013-03-23,2013-03-28,1701,1,1701
SO54513,LJ_0192_X,14083,2013-03-16,2013-03-23,2013-03-28,50,1,50
SO54514,BK_M38S_40,14103,2013-03-16,2013-03-23,2013-03-28,769,1,769
SO54514,BC_M005,14103,2013-03-16,2013-03-23,2013-03-28,10,1,10
SO54514,WB_H098,14103,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54515,BK_R19B_44,20424,2013-03-16,2013-03-23,2013-03-28,540,1,540
SO54515,WB_H098,20424,2013-03-16,2013-03-23,2013-03-28,5,1,5
SO54515,BC_R205,20424,2013-03-16,2013-03-23,2013-03-28,9,1,9
SO54516,BK_R19B_48,20816,2013-03-16,2013-03-23,2013-03-28,540,1,540
SO54516,TI_R092,20816,2013-03-16,2013-03-23,2013-03-28,21,1,21
SO54516,TT_R982,20816,2013-03-16,2013-03-23,2013-03-28,4,1,4
